Twin_Pair_ID,Memory_Recall_Twin_A,Memory_Recall_Twin_B
Pair_1,14.34,14.84
Pair_2,18.32,19.01
Pair_3,18.63,17.27
Pair_4,16.79,17.25
Pair_5,19.35,19.94
Pair_6,21.62,20.19
Pair_7,27.54,31.27
Pair_8,20.7,21.65
Pair_9,21.03,18.65
Pair_10,19.7,21.01
Pair_11,12.32,10.37
Pair_12,19.89,21.46
Pair_13,20.24,22.56
Pair_14,29.85,28.21
Pair_15,19.23,21.16
Pair_16,21.21,22.04
Pair_17,19.86,21.5
Pair_18,15.33,19.12
Pair_19,24.57,24.08
Pair_20,23.01,21.5
Pair_21,23.16,21.38
Pair_22,16.36,14.73
Pair_23,25.61,25.46
Pair_24,14.39,15.07
Pair_25,22.35,22.9
Pair_26,28.76,30.41
Pair_27,16.04,16.07
Pair_28,17.73,20.64
Pair_29,20.4,19.87
Pair_30,17.99,23.43
Pair_31,13.8,15.05
Pair_32,20.27,18.56
Pair_33,15.75,13.61
Pair_34,21.89,22.85
Pair_35,16.32,15.87
Pair_36,26.2,27.63
Pair_37,16.87,17.82
Pair_38,18.71,18.56
Pair_39,23.25,21.56
Pair_40,15.08,12.05
Pair_41,20.91,20.02
Pair_42,25.23,26.94
Pair_43,13.57,14.0
Pair_44,20.74,18.25
Pair_45,21.04,21.39
Pair_46,23.13,23.9
Pair_47,15.05,13.28
Pair_48,14.72,15.03
Pair_49,22.09,22.21
Pair_50,21.19,18.9
